id,symbol,name,current_price,market_cap,total_volume,price_change_percentage_24h,categories,hashing_algorithm,genesis_date,sentiment_up,sentiment_down,developer_score,community_score,liquidity_score
hyperliquid,hype,Hyperliquid,24.31,6577791998,166498282.0,-2.46406,"['Decentralized Exchange (DEX)', 'Smart Contract Platform', 'Exchange-based Tokens', 'Decentralized Finance (DeFi)', 'Derivatives', 'Perpetuals', 'Layer 1 (L1)', 'Proof of Stake (PoS)', 'Hyperliquid Ecosystem', 'Governance']",,,47.37,52.63,,,
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,88386.0,6454483175,195958510.0,0.25306,"['Crypto-Backed Tokens', 'Tokenized BTC', 'Wrapped-Tokens', 'Solana Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Base Ecosystem']",,,,,,,
ethena-usde,usde,Ethena USDe,0.999136,6433803132,44946203.0,0.03265,"['Stablecoins', 'USD Stablecoin', 'BNB Chain Ecosystem', 'Solana Ecosystem', 'Avalanche Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Metis Ecosystem', 'Optimism Ecosystem', 'Aptos Ecosystem', 'ZkSync Ecosystem', 'Mantle Ecosystem', 'Linea Ecosystem', 'Base Ecosystem', 'TON Ecosystem', 'Manta Network Ecosystem', 'Scroll Ecosystem', 'Berachain Ecosystem', 'Kava Ecosystem', 'Blast Ecosystem', 'Mode Ecosystem', 'Fraxtal Ecosystem', 'X Layer Ecosystem', 'Hyperliquid Ecosystem', 'Fiat-backed Stablecoin', 'Zircuit Ecosystem', 'Morph L2 Ecosystem', 'Swellchain Ecosystem', 'HyperEVM Ecosystem', 'Synthetic Dollar', 'Plasma Ecosystem']",,,100.0,0.0,,,
litecoin,ltc,Litecoin,76.35,5846719608,348185023.0,-0.67766,"['Infrastructure', 'Smart Contract Platform', 'Layer 1 (L1)', 'Proof of Work (PoW)', 'GMCI 30 Index', 'GMCI Index', 'Made in USA', 'Coinbase 50 Index']",Scrypt,2011-10-08,100.0,0.0,,,
sui,sui,Sui,1.45,5385272666,407238476.0,-1.00834,"['Smart Contract Platform', 'Binance Launchpool', 'Layer 1 (L1)', 'Sui Ecosystem', 'Coinbase Ventures Portfolio', 'Proof of Stake (PoS)', 'Andreessen Horowitz (a16z) Portfolio', 'YZi Labs (Prev. Binance Labs) Portfolio', 'GMCI Layer 1 Index', 'Circle Ventures Portfolio', 'GMCI Index', 'Made in USA']",,,80.95,19.05,,,
avalanche-2,avax,Avalanche,12.14,5213793020,194215710.0,-1.06369,"['Smart Contract Platform', 'Layer 1 (L1)', 'Avalanche Ecosystem', 'Proof of Stake (PoS)', 'DragonFly Capital Portfolio', 'DeFiance Capital Portfolio', 'Andreessen Horowitz (a16z) Portfolio', 'GMCI Layer 1 Index', 'GMCI 30 Index', 'Galaxy Digital Portfolio', 'GMCI Index', 'Polychain Capital Portfolio', 'World Liberty Financial Portfolio', 'Made in USA', 'Coinbase 50 Index']",,,95.45,4.55,,,
hedera-hashgraph,hbar,Hedera,0.111675,4766416073,88132957.0,-0.97053,"['Smart Contract Platform', 'Layer 1 (L1)', 'Hedera Ecosystem', 'GMCI Layer 1 Index', 'GMCI 30 Index', 'GMCI Index', 'Outlier Ventures Portfolio', 'Made in USA', 'Directed Acyclic Graph (DAG)']",Directed Acyclic Graph (DAG),,94.74,5.26,,,
susds,susds,sUSDS,1.079,4757492713,10373785.0,0.69973,"['Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Yield-Bearing Stablecoin']",,,0.0,100.0,,,
usdt0,usdt0,USDT0,0.999511,4302423123,146607507.0,0.00987,"['Polygon Ecosystem', 'Arbitrum Ecosystem', 'Optimism Ecosystem', 'Mantle Ecosystem', 'Berachain Ecosystem', 'Bridged USDT', 'Flare Network Ecosystem', 'Conflux Ecosystem', 'Rootstock Ecosystem', 'X Layer Ecosystem', 'Hyperliquid Ecosystem', 'Sei Network Ecosystem', 'Bridged-Tokens', 'Ink Ecosystem', 'Bridged Stablecoin', 'Unichain Ecosystem', 'HyperEVM Ecosystem', 'Corn Ecosystem', 'Plasma Ecosystem', 'Monad Ecosystem', 'Stable Ecosystem']",,,100.0,0.0,,,
shiba-inu,shib,Shiba Inu,7.26e-06,4275157652,83372408.0,-2.31778,"['Meme', 'Ethereum Ecosystem', 'Animoca Brands Portfolio', 'Dog-Themed', 'GMCI Meme Index', 'GMCI 30 Index', 'GMCI Index', 'Coinbase 50 Index']",,,62.96,37.04,,,
dai,dai,Dai,1.0,4253906262,83908329.0,0.08229,"['Stablecoins', 'Decentralized Finance (DeFi)', 'USD Stablecoin', 'Ethereum Ecosystem', 'Crypto-backed Stablecoin', 'Fiat-backed Stablecoin']",,,,,,,
canton-network,cc,Canton,0.107339,3912815002,39821687.0,9.50716,"['Smart Contract Platform', 'Layer 1 (L1)', 'Privacy Blockchain']",,,83.33,16.67,,,
paypal-usd,pyusd,PayPal USD,0.999719,3878287176,25832380.0,-0.02626,"['Stablecoins', 'USD Stablecoin', 'Solana Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Starknet Ecosystem', 'Stellar Ecosystem', 'Fiat-backed Stablecoin', 'Made in USA']",,,33.33,66.67,,,
uniswap,uni,Uniswap,6.15,3877214256,815681127.0,0.23423,"['Decentralized Exchange (DEX)', 'Exchange-based Tokens', 'Decentralized Finance (DeFi)', 'Yield Farming', 'Automated Market Maker (AMM)', 'BNB Chain Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Near Protocol Ecosystem', 'Gnosis Chain Ecosystem', 'Harmony Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Paradigm Portfolio', 'Coinbase Ventures Portfolio', 'Index Coop Defi Index', 'Andreessen Horowitz (a16z) Portfolio', 'Energi Ecosystem', 'Sora Ecosystem', 'Huobi ECO Chain Ecosystem', 'GMCI DeFi Index', 'GMCI 30 Index', 'Blockchain Capital Portfolio', 'GMCI Index', 'Polychain Capital Portfolio', 'Made in USA', 'Unichain Ecosystem', 'Coinbase 50 Index', 'Governance']",,,86.67,13.33,,,
mantle,mnt,Mantle,1.17,3806760498,104462408.0,0.70548,"['Smart Contract Platform', 'Ethereum Ecosystem', 'Layer 2 (L2)', 'Mantle Ecosystem', 'DWF Labs Portfolio', 'DragonFly Capital Portfolio', 'GMCI Layer 2 Index', 'GMCI 30 Index', 'GMCI Index', 'World Liberty Financial Portfolio', 'Made in China', 'Neobank']",,,66.67,33.33,,,
world-liberty-financial,wlfi,World Liberty Financial,0.134428,3659519504,55749921.0,-0.09951,"['BNB Chain Ecosystem', 'Solana Ecosystem', 'Ethereum Ecosystem', 'Stablecoin Issuer', 'Made in USA', 'Trump-Affiliated']",,,23.08,76.92,,,
